path,transcription
TIMIT/data/TRAIN\DR1\FCJF0\VOCODED_SA1.WAV.wav,SHE HAD YOUR DARK SUIT IN GREASY WASH WATER ALL YEAR.
TIMIT/data/TRAIN\DR1\FCJF0\VOCODED_SA2.WAV.wav,DON'T ASK ME TO CARRY AN OILY RAG LIKE THAT.
TIMIT/data/TRAIN\DR1\FCJF0\VOCODED_SI1027.WAV.wav,"EVEN THEN, IF SHE TOOK ONE STEP FORWARD HE COULD CATCH HER."
TIMIT/data/TRAIN\DR1\FCJF0\VOCODED_SI1657.WAV.wav,OR BORROW SOME MONEY FROM SOMEONE AND GO HOME BY BUS?
TIMIT/data/TRAIN\DR1\FCJF0\VOCODED_SI648.WAV.wav,A SAILBOAT MAY HAVE A BONE IN HER TEETH ONE MINUTE AND LIE BECALMED THE NEXT.
TIMIT/data/TRAIN\DR1\FCJF0\VOCODED_SX127.WAV.wav,THE EMPEROR HAD A MEAN TEMPER.
TIMIT/data/TRAIN\DR1\FCJF0\VOCODED_SX217.WAV.wav,HOW PERMANENT ARE THEIR RECORDS?
TIMIT/data/TRAIN\DR1\FCJF0\VOCODED_SX307.WAV.wav,THE MEETING IS NOW ADJOURNED.
TIMIT/data/TRAIN\DR1\FCJF0\VOCODED_SX37.WAV.wav,CRITICAL EQUIPMENT NEEDS PROPER MAINTENANCE.
TIMIT/data/TRAIN\DR1\FCJF0\VOCODED_SX397.WAV.wav,TIM TAKES SHEILA TO SEE MOVIES TWICE A WEEK.
TIMIT/data/TRAIN\DR1\FDAW0\VOCODED_SA1.WAV.wav,SHE HAD YOUR DARK SUIT IN GREASY WASH WATER ALL YEAR.
TIMIT/data/TRAIN\DR1\FDAW0\VOCODED_SA2.WAV.wav,DON'T ASK ME TO CARRY AN OILY RAG LIKE THAT.
TIMIT/data/TRAIN\DR1\FDAW0\VOCODED_SI1271.WAV.wav,THIS HAS BEEN ATTRIBUTED TO HELIUM FILM FLOW IN THE VAPOR PRESSURE THERMOMETER.
TIMIT/data/TRAIN\DR1\FDAW0\VOCODED_SI1406.WAV.wav,"RECEIVING NO ANSWER, THEY SET THE FIRE."
TIMIT/data/TRAIN\DR1\FDAW0\VOCODED_SI2036.WAV.wav,"AS HIS FEET SLOWED, HE FELT ASHAMED OF THE PANIC AND RESOLVED TO MAKE A STAND."
